t,n,keygen duration,message_size,signature_size,sign_duration
2,3,0.00571903,64,143,0.004893544
1,3,0.0028205079999999993,64,143,0.0016593399999999953
2,5,0.004310661,64,143,0.0025600250000000005
4,5,0.004391819999999998,64,142,0.0045053739999999995
8,10,0.009129320000000003,64,143,0.007912369000000002
4,10,0.009270569000000006,64,143,0.004843966000000005
7,10,0.009143496000000001,64,143,0.007522406000000009
16,20,0.019417442999999993,64,142,0.015876663000000013
13,20,0.01941230499999999,64,143,0.013334539000000006
7,20,0.01914908699999998,64,142,0.007079132000000016
2,5,0.004349287,64,143,0.002455027999999998
4,5,0.004153683999999998,64,143,0.004519711000000003
8,10,0.009090380000000002,64,143,0.008115999999999998
4,10,0.00871437600000001,64,143,0.004587325000000003
7,10,0.008927102000000006,64,143,0.0069805490000000026
16,20,0.018957540999999994,64,143,0.01559622799999999
13,20,0.019304052999999988,64,141,0.01264116500000001
7,20,0.018989489,64,143,0.007347060999999988
2,5,5.009185297998556,64,142,3.0055599520001124
4,5,5.008702105000339,64,143,5.242591935000746
8,10,11.041348070999447,64,143,10.605402527000479
4,10,11.040421581001283,64,143,5.250614063999819
7,10,11.181129131999114,64,143,9.192423170999973
10,15,17.804128600000695,64,143,13.473313793998386
12,15,17.877761648998785,64,143,16.327363149999655
5,15,17.75016835399947,64,143,6.558556517000397
16,20,25.14217009300046,64,143,22.55997369800025